# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  5.799671e+00    2.474907e+09
  5.803748e+00    2.475892e+09
  5.807824e+00    2.474069e+09
  5.811900e+00    2.469611e+09
  5.815976e+00    2.466608e+09
  5.820053e+00    2.468874e+09
  5.824129e+00    2.480257e+09
  5.828205e+00    2.485857e+09
  5.832281e+00    2.485915e+09
  5.836358e+00    2.480069e+09
  5.840434e+00    2.475288e+09
  5.844510e+00    2.473291e+09
  5.848586e+00    2.471238e+09
  5.852663e+00    2.468136e+09
  5.856739e+00    2.469140e+09
  5.860815e+00    2.468646e+09
  5.864892e+00    2.472027e+09
  5.868968e+00    2.471205e+09
  5.873044e+00    2.467698e+09
  5.877120e+00    2.460251e+09
  5.881197e+00    2.456410e+09
  5.885273e+00    2.458633e+09
  5.889349e+00    2.466605e+09
  5.893425e+00    2.469001e+09
  5.897502e+00    2.468705e+09
  5.901578e+00    2.464957e+09
  5.905654e+00    2.465370e+09
  5.909730e+00    2.462890e+09
  5.913807e+00    2.463904e+09
  5.917883e+00    2.462327e+09
  5.921959e+00    2.462326e+09
  5.926036e+00    2.460656e+09
  5.930112e+00    2.460136e+09
  5.934188e+00    2.458152e+09
  5.938264e+00    2.457759e+09
  5.942341e+00    2.459488e+09
  5.946417e+00    2.463360e+09
  5.950493e+00    2.464942e+09
  5.954569e+00    2.462854e+09
  5.958646e+00    2.458960e+09
  5.962722e+00    2.455471e+09
  5.966798e+00    2.451504e+09
  5.970874e+00    2.452418e+09
  5.974951e+00    2.453393e+09
  5.979027e+00    2.450787e+09
  5.983103e+00    2.445030e+09
  5.987179e+00    2.445864e+09
  5.991256e+00    2.453467e+09
  5.995332e+00    2.454462e+09
  5.999408e+00    2.447959e+09
  6.003485e+00    2.439586e+09
  6.007561e+00    2.435222e+09
  6.011637e+00    2.435972e+09
  6.015713e+00    2.439110e+09
  6.019790e+00    2.441581e+09
  6.023866e+00    2.441562e+09
  6.027942e+00    2.435522e+09
  6.032018e+00    2.434263e+09
  6.036095e+00    2.436332e+09
  6.040171e+00    2.438087e+09
  6.044247e+00    2.434831e+09
  6.048323e+00    2.427033e+09
  6.052400e+00    2.420485e+09
  6.056476e+00    2.421972e+09
  6.060552e+00    2.423989e+09
